Time=1280000 | A= 8 | B= 0 | Min= 0
Time=1290000 | A= 8 | B= 1 | Min= 1
Time=1300000 | A= 8 | B= 2 | Min= 2
Time=1310000 | A= 8 | B= 3 | Min= 3
Time=1320000 | A= 8 | B= 4 | Min= 4
Time=1330000 | A= 8 | B= 5 | Min= 5
Time=1340000 | A= 8 | B= 6 | Min= 6
Time=1350000 | A= 8 | B= 7 | Min= 7
Time=1360000 | A= 8 | B= 8 | Min= 8
Time=1370000 | A= 8 | B= 9 | Min= 8
Time=1380000 | A= 8 | B=10 | Min= 8
Time=1390000 | A= 8 | B=11 | Min= 8
Time=1400000 | A= 8 | B=12 | Min= 8
Time=1410000 | A= 8 | B=13 | Min= 8
Time=1420000 | A= 8 | B=14 | Min= 8
Time=1430000 | A= 8 | B=15 | Min= 8
Time=1440000 | A= 9 | B= 0 | Min= 0
Time=1450000 | A= 9 | B= 1 | Min= 1
Time=1460000 | A= 9 | B= 2 | Min= 2
Time=1470000 | A= 9 | B= 3 | Min= 3
Time=1480000 | A= 9 | B= 4 | Min= 4
Time=1490000 | A= 9 | B= 5 | Min= 5
Time=1500000 | A= 9 | B= 6 | Min= 6
Time=1510000 | A= 9 | B= 7 | Min= 7
Time=1520000 | A= 9 | B= 8 | Min= 8
Time=1530000 | A= 9 | B= 9 | Min= 9
Time=1540000 | A= 9 | B=10 | Min= 9
Time=1550000 | A= 9 | B=11 | Min= 9
Time=1560000 | A= 9 | B=12 | Min= 9
Time=1570000 | A= 9 | B=13 | Min= 9
Time=1580000 | A= 9 | B=14 | Min= 9
Time=1590000 | A= 9 | B=15 | Min= 9
Time=1600000 | A=10 | B= 0 | Min= 0
Time=1610000 | A=10 | B= 1 | Min= 1
Time=1620000 | A=10 | B= 2 | Min= 2
Time=1630000 | A=10 | B= 3 | Min= 3
Time=1640000 | A=10 | B= 4 | Min= 4
Time=1650000 | A=10 | B= 5 | Min= 5
Time=1660000 | A=10 | B= 6 | Min= 6
Time=1670000 | A=10 | B= 7 | Min= 7
Time=1680000 | A=10 | B= 8 | Min= 8
Time=1690000 | A=10 | B= 9 | Min= 9
Time=1700000 | A=10 | B=10 | Min=10
Time=1710000 | A=10 | B=11 | Min=10
Time=1720000 | A=10 | B=12 | Min=10
Time=1730000 | A=10 | B=13 | Min=10
Time=1740000 | A=10 | B=14 | Min=10
Time=1750000 | A=10 | B=15 | Min=10
Time=1760000 | A=11 | B= 0 | Min= 0
Time=1770000 | A=11 | B= 1 | Min= 1
Time=1780000 | A=11 | B= 2 | Min= 2
Time=1790000 | A=11 | B= 3 | Min= 3
Time=1800000 | A=11 | B= 4 | Min= 4
